"name","population","population_density","ntl_mean","n_pixels","n_non_na_pixels","prop_non_na_pixels","date","pct_change"
59150307,632,2110.9,3.71000003814697,5,1,0.2,"2012-01",NA
59150308,501,4575.3,NA,2,0,0,"2012-01",NA
59150309,745,6663.7,3.01999998092651,4,1,0.25,"2012-01",NA
59150310,536,4895,NA,1,0,0,"2012-01",NA
59150311,532,6567.9,3.97103810310364,4,2,0.5,"2012-01",NA
59150312,562,6445,NA,2,0,0,"2012-01",NA
59150313,1088,6296.3,4.60964155197144,4,2,0.5,"2012-01",NA
59150328,556,2393.5,4.87999963760376,3,1,0.333333333333333,"2012-01",NA
59150329,959,3109.6,4.68446731567383,8,4,0.5,"2012-01",NA
59150330,506,6462.3,4.18097591400146,4,4,1,"2012-01",NA
59150331,782,5068,3.25993490219116,4,3,0.75,"2012-01",NA
59150332,683,6103.7,2.83361124992371,4,4,1,"2012-01",NA
59150333,541,5426.3,2.86373066902161,4,4,1,"2012-01",NA
59150334,507,5767.9,2.65000009536743,4,4,1,"2012-01",NA
59150335,618,6457.7,3.04424619674683,4,4,1,"2012-01",NA
59150336,597,4396.2,3.15977716445923,6,6,1,"2012-01",NA
59150337,449,4586.3,3.2337532043457,3,3,1,"2012-01",NA
59150338,513,6812.7,3.28554821014404,3,3,1,"2012-01",NA
59150339,631,6498.5,3.14931011199951,3,3,1,"2012-01",NA
59150340,581,7326.6,3.28998899459839,4,4,1,"2012-01",NA
59150341,494,7635.2,3.7121946811676,3,3,1,"2012-01",NA
59150342,445,5548.6,3.40707850456238,6,6,1,"2012-01",NA
59150343,505,8305.9,4.27758455276489,3,3,1,"2012-01",NA
59150344,490,8419.2,3.96534752845764,2,2,1,"2012-01",NA
59150345,632,7400.5,4.13886499404907,3,3,1,"2012-01",NA
59150346,418,6066.8,4.13630867004395,4,4,1,"2012-01",NA
59150347,542,8262.2,4.1351056098938,4,4,1,"2012-01",NA
59150348,569,14515.3,4.13000011444092,2,2,1,"2012-01",NA
59150349,411,11480.4,4.12999963760376,1,1,1,"2012-01",NA
59150350,572,5607.8,4.95036268234253,4,4,1,"2012-01",NA
59150351,415,14664.3,4.41669511795044,2,2,1,"2012-01",NA
59150352,771,13743.3,5.76958131790161,2,2,1,"2012-01",NA
59150353,490,11807.2,4.13000011444092,2,2,1,"2012-01",NA
59150354,549,12767.4,4.12999963760376,2,2,1,"2012-01",NA
59150355,519,18872.7,6.61671447753906,4,4,1,"2012-01",NA
59150356,479,5622.1,5.55993890762329,4,4,1,"2012-01",NA
59150357,924,10620.7,7.43000030517578,2,2,1,"2012-01",NA
59150358,545,6278.8,6.35272359848022,4,4,1,"2012-01",NA
59150359,496,11753.6,6.63835096359253,6,6,1,"2012-01",NA
59150360,642,7287.2,3.02289867401123,3,3,1,"2012-01",NA
59150361,524,9323.8,2.98000001907349,2,2,1,"2012-01",NA
59150362,427,7625,3.0430166721344,2,2,1,"2012-01",NA
59150363,480,4938.3,2.84147953987122,4,4,1,"2012-01",NA
59150364,493,8529.4,2.25520873069763,4,4,1,"2012-01",NA
59150365,361,5348.1,2.1374843120575,4,4,1,"2012-01",NA
59150366,636,5422,2.75681138038635,3,3,1,"2012-01",NA
59150367,1245,12266,2.66143178939819,5,5,1,"2012-01",NA
59150368,509,6869.1,3.07543873786926,4,4,1,"2012-01",NA
59150369,537,6929,2.99687814712524,3,3,1,"2012-01",NA
59150370,1317,11624,2.84824323654175,4,4,1,"2012-01",NA
59150371,535,7514,3.07794046401978,4,4,1,"2012-01",NA
59150372,709,7227.3,3.15299487113953,3,3,1,"2012-01",NA
59150373,719,6129.6,2.54219579696655,6,6,1,"2012-01",NA
59150375,474,6422.8,2.18117499351501,3,3,1,"2012-01",NA
59150376,465,6888.9,2.64470386505127,4,4,1,"2012-01",NA
59150377,503,7518.7,2.74124336242676,2,2,1,"2012-01",NA
59150378,862,14887.7,2.75,1,1,1,"2012-01",NA
59150379,578,7234,2.35887336730957,4,4,1,"2012-01",NA
59150380,591,10404.9,2.04826259613037,2,2,1,"2012-01",NA
59150381,638,8775.8,2.35000014305115,2,2,1,"2012-01",NA
59150382,583,8740.6,2.454425573349,4,4,1,"2012-01",NA
59150383,538,8485.8,2.33727169036865,4,4,1,"2012-01",NA
59150384,468,8055.1,2.75703930854797,2,2,1,"2012-01",NA
59150385,512,7441.9,2.33166313171387,2,2,1,"2012-01",NA
59150386,586,5250.9,2.5465612411499,4,4,1,"2012-01",NA
59150387,482,7566.7,2.33232736587524,4,4,1,"2012-01",NA
59150388,787,2799.7,2.52037811279297,6,6,1,"2012-01",NA
59150389,702,6868.9,2.38201189041138,4,4,1,"2012-01",NA
59150390,601,5235.2,3.67000007629395,2,2,1,"2012-01",NA
59150391,516,7701.5,2.7506058216095,3,3,1,"2012-01",NA
59150392,503,3674.2,2.74027943611145,3,3,1,"2012-01",NA
59150393,596,7137.7,2.62000012397766,1,1,1,"2012-01",NA
59150394,617,7820,2.73960614204407,2,2,1,"2012-01",NA
59150395,748,9432.5,2.75175619125366,4,4,1,"2012-01",NA
59150396,660,5246.4,2.63061666488647,4,4,1,"2012-01",NA
59150397,456,7651,2.62000012397766,2,2,1,"2012-01",NA
59150398,492,7687.5,2.61983275413513,4,4,1,"2012-01",NA
59150399,478,7320.1,2.57068228721619,2,2,1,"2012-01",NA
59150400,711,7414,2.32256674766541,6,6,1,"2012-01",NA
59150401,623,6720.6,2.25285673141479,2,2,1,"2012-01",NA
59150402,702,4117.3,2.23501968383789,4,4,1,"2012-01",NA
59150403,649,6838.8,2.18014168739319,4,4,1,"2012-01",NA
59150404,537,9538.2,2.18830585479736,2,2,1,"2012-01",NA
59150405,473,7221.4,2.81352376937866,3,3,1,"2012-01",NA
59150406,739,6621.9,2.61351013183594,5,5,1,"2012-01",NA
59150407,767,7899.1,3.75141787528992,4,4,1,"2012-01",NA
59150408,753,9194.1,3.44631814956665,6,6,1,"2012-01",NA
59150409,482,8087.2,3.43326878547668,4,4,1,"2012-01",NA
59150410,581,6693.5,3.43277740478516,2,2,1,"2012-01",NA
59150412,448,7593.2,2.14334654808044,4,4,1,"2012-01",NA
59150414,649,9140.8,2.27237153053284,4,4,1,"2012-01",NA
59150415,886,7540.4,2.80610203742981,4,4,1,"2012-01",NA
59150416,663,7424.4,2.34999990463257,2,2,1,"2012-01",NA
