"date","total_ntl","total_pixels","weighted_ntl_mean","prev_weighted_ntl_mean","pct_change"
1月 2012,16506.9749237895,3650,4.52245888323,NA,NA
3月 2012,19081.5712901354,3853,4.95239327540498,4.52245888323,9.50665121067752
5月 2012,18429.0810711384,3868,4.76449872573381,4.95239327540498,-3.79401512000885
7月 2012,18775.027936101,3868,4.85393690178411,4.76449872573381,1.87717913675227
9月 2012,20610.1880382299,3868,5.32838367069026,4.85393690178411,9.77447335031819
11月 2012,13794.1484953165,3434,4.01693316695297,5.32838367069026,-24.6125389008896
1月 2013,13351.022998035,3862,3.45702304454556,4.01693316695297,-13.9387462807137
3月 2013,23842.8948562145,3861,6.1753159430755,3.45702304454556,78.6310320614965
5月 2013,22439.4197491407,3865,5.80580071129127,6.1753159430755,-5.98374617898833
7月 2013,22831.8643096685,3825,5.96911485220093,5.80580071129127,2.81294775743925
9月 2013,20301.9419401288,3868,5.2486923319878,5.96911485220093,-12.0691683449095
11月 2013,19505.2243191004,3849,5.06760829282941,5.2486923319878,-3.45007913789857
1月 2014,19735.4658360481,3868,5.10224039194626,5.06760829282941,0.683401263784667
3月 2014,21557.2231965065,3855,5.5920163933869,5.10224039194626,9.59923413670865
5月 2014,21204.7739863396,3864,5.48777794677525,5.5920163933869,-1.86405831597564
7月 2014,20336.2826188803,3868,5.25757048057918,5.48777794677525,-4.19491219267253
9月 2014,20196.7322814465,3868,5.22149231681656,5.25757048057918,-0.686213601812634
11月 2014,18916.1959100962,3865,4.89422921347896,5.22149231681656,-6.26761629589315
1月 2015,16291.1756958962,3860,4.22051183831506,4.89422921347896,-13.7655460293613
3月 2015,19487.1898933649,3865,5.04196374990036,4.22051183831506,19.463324427334
5月 2015,20265.0294235945,3859,5.25136808074488,5.04196374990036,4.15322959925386
7月 2015,20440.0305893421,3856,5.30083780843935,5.25136808074488,0.942035045607643
9月 2015,17262.4154720306,3868,4.46287887074215,5.30083780843935,-15.8080471046124
11月 2015,18711.5360287428,3868,4.83752224114343,4.46287887074215,8.3946569300228
1月 2016,16657.5045083761,3868,4.30649030723271,4.83752224114343,-10.9773538485107
3月 2016,21848.6870757341,3862,5.65735035622324,4.30649030723271,31.3680039340103
5月 2016,17894.0556851625,3868,4.62617778830469,5.65735035622324,-18.2271293624979
7月 2016,17424.0737988353,3864,4.50933586926379,4.62617778830469,-2.52566858403688
9月 2016,17105.4018315077,3868,4.4222858923236,4.50933586926379,-1.93043897070368
11月 2016,14473.1563639045,3864,3.74564088092766,4.4222858923236,-15.3007975484012
1月 2017,20034.9147090912,3868,5.17965737049927,3.74564088092766,38.2849433557138
3月 2017,20315.4929895401,3865,5.25627244231309,5.17965737049927,1.47915327855817
5月 2017,20004.1332719326,3866,5.17437487634056,5.25627244231309,-1.55809210560045
7月 2017,20890.4964263439,3868,5.40085223018199,5.17437487634056,4.37690270329999
9月 2017,16997.6435688734,3868,4.39442698264566,5.40085223018199,-18.634563669638
11月 2017,14729.5608011484,3825,3.85086556892769,4.39442698264566,-12.3693354301843
1月 2018,17531.3751955032,3863,4.53827988493483,3.85086556892769,17.8509040033447
3月 2018,22170.9076704979,3868,5.7318789220522,4.53827988493483,26.3006924954015
5月 2018,20928.3312821388,3868,5.4106337337484,5.7318789220522,-5.60453548779391
7月 2018,21176.8995901346,3868,5.47489648142053,5.4106337337484,1.18771202846899
9月 2018,18123.5984784365,3868,4.68552184034035,5.47489648142053,-14.418074273349
11月 2018,17444.4044370651,3867,4.51109501863593,4.68552184034035,-3.72267652671432
1月 2019,17495.2538194656,3867,4.52424458739737,4.51109501863593,0.29149394342446
3月 2019,21583.6833227277,3868,5.58006290659971,4.52424458739737,23.336897437937
5月 2019,20458.2068210244,3868,5.28909173242617,5.58006290659971,-5.21447838570785
7月 2019,21126.0217542648,3863,5.46881225841699,5.28909173242617,3.39794685142249
9月 2019,21568.106782794,3868,5.57603587972958,5.46881225841699,1.96063818331959
11月 2019,23263.3394039869,3868,6.01430698138235,5.57603587972958,7.85990461872762
1月 2020,21882.5602359772,3738,5.85408246013301,6.01430698138235,-2.66405625361873
3月 2020,21557.1370114088,3866,5.57608303450823,5.85408246013301,-4.74881294409478
5月 2020,21254.8803377151,3868,5.495056964249,5.57608303450823,-1.45310013781688
7月 2020,19673.0534228087,3867,5.08742007313386,5.495056964249,-7.41824686745266
9月 2020,19336.8153759241,3868,4.99917667423064,5.08742007313386,-1.73454123376264
11月 2020,17169.3635503054,3859,4.44917428098092,4.99917667423064,-11.0018594878799
1月 2021,10881.4958214164,3862,2.81758048198249,4.44917428098092,-36.6718338270783
3月 2021,21412.5337779522,3866,5.53867919760791,2.81758048198249,96.5757227886111
5月 2021,21830.2291921377,3868,5.64380279010799,5.53867919760791,1.89799027438674
7月 2021,19915.9491060972,3868,5.14890100984933,5.64380279010799,-8.76894176965368
9月 2021,19894.1552683115,3866,5.14592738445719,5.14890100984933,-0.057752623063721
11月 2021,19340.1485888958,3853,5.01950391614217,5.14592738445719,-2.456767437039
1月 2022,13537.6632279158,3866,3.50172354576197,5.01950391614217,-30.2376568628464
3月 2022,20966.6264230013,3868,5.42053423552257,3.50172354576197,54.7961786441674
5月 2022,20740.4342185259,3866,5.36483037209671,5.42053423552257,-1.02764526531
7月 2022,20996.8781967163,3856,5.44524849499904,5.36483037209671,1.49898724329847
9月 2022,20754.5450267792,3868,5.36570450537207,5.44524849499904,-1.46079631994802
11月 2022,17218.2727617025,3868,4.45146658782382,5.36570450537207,-17.0385438973191
1月 2023,18034.5953330994,3862,4.66975539438099,4.45146658782382,4.90375030903871
3月 2023,20176.5390025973,3868,5.21627171732092,4.66975539438099,11.7033179852964
5月 2023,22048.0259572268,3868,5.70011012337817,5.21627171732092,9.27555986875898
7月 2023,20081.2506830692,3868,5.19163668124851,5.70011012337817,-8.92041436259679
9月 2023,19882.7430121899,3868,5.14031618722592,5.19163668124851,-0.988522448189596
11月 2023,19823.5694992542,3866,5.12766929623751,5.14031618722592,-0.246033328063284
1月 2024,28783.7062051296,3867,7.44342027544081,5.12766929623751,45.1618629325902
3月 2024,22973.2153093815,3866,5.94237333403556,7.44342027544081,-20.1660914721943
5月 2024,22150.3743122816,3868,5.72657040131376,5.94237333403556,-3.63159499733503
7月 2024,16514.1772630215,3861,4.27717618829875,5.72657040131376,-25.3099868061082
9月 2024,14491.5952183008,3868,3.74653444113258,4.27717618829875,-12.4063569936134
11月 2024,17752.8947200775,3680,4.82415617393411,3.74653444113258,28.7631609887393
