TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,name,crime_datetime,date_only,sunrise,sunset,time_category
Break and Enter Commercial,2012,7,4,13,0,10XX ALBERNI ST,West End,59153483,2012-07-04T20:00:00Z,2012-07-04,2012-07-04T12:14:46Z,2012-07-05T04:21:29Z,day
Break and Enter Commercial,2012,1,26,10,0,10XX BARCLAY ST,West End,59153683,2012-01-26T18:00:00Z,2012-01-26,2012-01-26T15:53:14Z,2012-01-27T00:59:02Z,day
Break and Enter Commercial,2012,11,26,9,38,10XX BEACH AVE,Central Business District,59153834,2012-11-26T17:38:00Z,2012-11-26,2012-11-26T15:41:55Z,2012-11-27T00:21:07Z,day
Break and Enter Commercial,2012,5,6,15,0,10XX BURNABY ST,West End,59150795,2012-05-06T22:00:00Z,2012-05-06,2012-05-06T12:42:39Z,2012-05-07T03:38:00Z,day
Break and Enter Commercial,2012,11,28,13,30,10XX DAVIE ST,West End,59153684,2012-11-28T21:30:00Z,2012-11-28,2012-11-28T15:44:41Z,2012-11-29T00:19:42Z,day
Break and Enter Commercial,2012,7,17,16,0,10XX E 7TH AVE,Mount Pleasant,59150721,2012-07-17T23:00:00Z,2012-07-17,2012-07-17T12:27:20Z,2012-07-18T04:12:13Z,day
Break and Enter Commercial,2012,7,23,13,9,10XX E 7TH AVE,Mount Pleasant,59150721,2012-07-23T20:09:00Z,2012-07-23,2012-07-23T12:34:34Z,2012-07-24T04:05:39Z,day
Break and Enter Commercial,2012,11,10,8,0,10XX HAMILTON ST,Central Business District,59153470,2012-11-10T16:00:00Z,2012-11-10,2012-11-10T15:17:21Z,2012-11-11T00:38:19Z,day
Break and Enter Commercial,2012,11,26,15,0,10XX MAINLAND ST,Central Business District,59153470,2012-11-26T23:00:00Z,2012-11-26,2012-11-26T15:41:55Z,2012-11-27T00:21:07Z,day
Break and Enter Commercial,2012,1,7,11,14,10XX PARKER ST,Strathcona,59150751,2012-01-07T19:14:00Z,2012-01-07,2012-01-07T16:07:54Z,2012-01-08T00:31:35Z,day
