TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2019,8,27,4,12,10XX ALBERNI ST,West End,491004.8164,5459177.313
Break and Enter Commercial,2019,12,31,23,30,10XX BEACH AVE,West End,490197.4785,5458239.4212
Break and Enter Commercial,2019,1,6,1,36,10XX BEACH AVE,West End,490234.4136,5458201.015
Break and Enter Commercial,2019,6,9,10,58,10XX BEACH AVE,West End,490234.4136,5458201.015
Break and Enter Commercial,2019,6,10,4,30,10XX BEACH AVE,Central Business District,490249.2307,5458166.8328
Break and Enter Commercial,2019,7,21,11,21,10XX BEACH AVE,Central Business District,490249.2307,5458166.8328
Break and Enter Commercial,2019,4,7,15,8,10XX BEACH AVE,Central Business District,490255.5322,5458158.6131
Break and Enter Commercial,2019,12,16,4,30,10XX BEACH AVE,Central Business District,490255.5322,5458158.6131
Break and Enter Commercial,2019,4,10,13,50,10XX BEACH AVE,Central Business District,490269.91,5458141.1263
Break and Enter Commercial,2019,10,19,7,50,10XX BEACH AVE,Central Business District,490269.91,5458141.1263
Break and Enter Commercial,2019,11,14,5,46,10XX BEACH AVE,Central Business District,490269.91,5458141.1263
Break and Enter Commercial,2019,11,22,7,27,10XX BEACH AVE,Central Business District,490269.91,5458141.1263
Break and Enter Commercial,2019,8,3,8,0,10XX BROUGHTON ST,West End,490247.1512,5459171.0415
Break and Enter Commercial,2019,4,24,7,25,10XX BROUGHTON ST,West End,490269.4243,5459193.6278
Break and Enter Commercial,2019,12,28,22,30,10XX BROUGHTON ST,West End,490269.4243,5459193.6278
Break and Enter Commercial,2019,4,12,18,22,10XX BURNABY ST,West End,490440.3175,5458486.9612
Break and Enter Commercial,2019,11,7,3,20,10XX BURNABY ST,West End,490495.4166,5458443.882
Break and Enter Commercial,2019,12,26,6,23,10XX BURRARD ST,West End,490729.6302,5458622.1395
Break and Enter Commercial,2019,1,16,0,0,10XX BURRARD ST,Central Business District,490729.9102,5458609.3957
Break and Enter Commercial,2019,5,17,6,50,10XX BURRARD ST,Central Business District,490729.9102,5458609.3957
Break and Enter Commercial,2019,3,16,10,34,10XX BURRARD ST,West End,490806.2772,5458701.6118
Break and Enter Commercial,2019,8,3,18,0,10XX CAMBIE ST,Central Business District,491344.7882,5458059.2203
Break and Enter Commercial,2019,7,8,6,51,10XX CAMBIE ST,Central Business District,491377.5652,5458122.5941
Break and Enter Commercial,2019,12,18,5,0,10XX CANADA PL,Central Business District,491434.1768,5459565.0465
Break and Enter Commercial,2019,3,19,3,38,10XX CANADA PL,Central Business District,491492.0426,5459540.3896
Break and Enter Commercial,2019,6,21,4,35,10XX CANADA PL,Central Business District,491492.0426,5459540.3896
Break and Enter Commercial,2019,6,23,5,4,10XX CANADA PL,Central Business District,491492.0426,5459540.3896
Break and Enter Commercial,2019,6,23,5,13,10XX CANADA PL,Central Business District,491492.0426,5459540.3896
Break and Enter Commercial,2019,9,26,6,10,10XX CANADA PL,Central Business District,491492.0426,5459540.3896
Break and Enter Commercial,2019,10,18,2,42,10XX CANADA PL,Central Business District,491492.0426,5459540.3896
Break and Enter Commercial,2019,11,1,0,38,10XX CANADA PL,Central Business District,491492.0426,5459540.3896
Break and Enter Commercial,2019,11,17,4,36,10XX CANADA PL,Central Business District,491492.0426,5459540.3896
Break and Enter Commercial,2019,12,28,3,20,10XX CANADA PL,Central Business District,491492.0426,5459540.3896
Break and Enter Commercial,2019,8,5,13,3,10XX CANADA PL,Central Business District,491519.3199,5459518.8272
Break and Enter Commercial,2019,11,4,7,23,10XX COMMERCIAL DR,Grandview-Woodland,494937.4605,5458083.3684
Break and Enter Commercial,2019,11,15,1,15,10XX COMMERCIAL DR,Grandview-Woodland,494937.4605,5458083.3684
Break and Enter Commercial,2019,9,15,14,13,10XX COMOX ST,West End,490653.759,5458753.9139
Break and Enter Commercial,2019,4,17,15,30,10XX DAVIE ST,West End,490558.3446,5458527.0734
Break and Enter Commercial,2019,1,2,2,45,10XX DENMAN ST,West End,489824.8434,5459533.135
Break and Enter Commercial,2019,12,22,0,20,10XX DENMAN ST,West End,489865.7016,5459587.088
Break and Enter Commercial,2019,8,30,10,38,10XX E BROADWAY AVE,Mount Pleasant,493987.8282,5456638.0059
Break and Enter Commercial,2019,2,24,6,0,10XX E BROADWAY AVE,Mount Pleasant,494074.1104,5456636.8066
Break and Enter Commercial,2019,6,5,6,12,10XX E CORDOVA ST,Strathcona,494075.0427,5458803.7118
