"geo_local_area","year","month","crime_count","date","prev_crime_count","pct_change"
"Arbutus Ridge",2003,1,30,1月 2003,NA,NA
"Arbutus Ridge",2003,2,21,2月 2003,30,-30
"Arbutus Ridge",2003,3,19,3月 2003,21,-9.52380952380952
"Arbutus Ridge",2003,4,22,4月 2003,19,15.7894736842105
"Arbutus Ridge",2003,5,21,5月 2003,22,-4.54545454545455
"Arbutus Ridge",2003,6,26,6月 2003,21,23.8095238095238
"Arbutus Ridge",2003,7,15,7月 2003,26,-42.3076923076923
"Arbutus Ridge",2003,8,18,8月 2003,15,20
"Arbutus Ridge",2003,9,14,9月 2003,18,-22.2222222222222
"Arbutus Ridge",2003,10,14,10月 2003,14,0
"Arbutus Ridge",2003,11,13,11月 2003,14,-7.14285714285714
"Arbutus Ridge",2003,12,20,12月 2003,13,53.8461538461538
"Arbutus Ridge",2004,1,14,1月 2004,20,-30
"Arbutus Ridge",2004,2,25,2月 2004,14,78.5714285714286
"Arbutus Ridge",2004,3,15,3月 2004,25,-40
"Arbutus Ridge",2004,4,25,4月 2004,15,66.6666666666667
"Arbutus Ridge",2004,5,18,5月 2004,25,-28
"Arbutus Ridge",2004,6,22,6月 2004,18,22.2222222222222
"Arbutus Ridge",2004,7,21,7月 2004,22,-4.54545454545455
"Arbutus Ridge",2004,8,11,8月 2004,21,-47.6190476190476
"Arbutus Ridge",2004,9,17,9月 2004,11,54.5454545454545
"Arbutus Ridge",2004,10,28,10月 2004,17,64.7058823529412
"Arbutus Ridge",2004,11,15,11月 2004,28,-46.4285714285714
"Arbutus Ridge",2004,12,19,12月 2004,15,26.6666666666667
"Arbutus Ridge",2005,1,28,1月 2005,19,47.3684210526316
"Arbutus Ridge",2005,2,20,2月 2005,28,-28.5714285714286
"Arbutus Ridge",2005,3,15,3月 2005,20,-25
"Arbutus Ridge",2005,4,25,4月 2005,15,66.6666666666667
"Arbutus Ridge",2005,5,29,5月 2005,25,16
"Arbutus Ridge",2005,6,20,6月 2005,29,-31.0344827586207
"Arbutus Ridge",2005,7,16,7月 2005,20,-20
"Arbutus Ridge",2005,8,20,8月 2005,16,25
"Arbutus Ridge",2005,9,23,9月 2005,20,15
"Arbutus Ridge",2005,10,18,10月 2005,23,-21.7391304347826
"Arbutus Ridge",2005,11,11,11月 2005,18,-38.8888888888889
"Arbutus Ridge",2005,12,14,12月 2005,11,27.2727272727273
"Arbutus Ridge",2006,1,20,1月 2006,14,42.8571428571429
"Arbutus Ridge",2006,2,16,2月 2006,20,-20
"Arbutus Ridge",2006,3,20,3月 2006,16,25
"Arbutus Ridge",2006,4,16,4月 2006,20,-20
"Arbutus Ridge",2006,5,12,5月 2006,16,-25
"Arbutus Ridge",2006,6,14,6月 2006,12,16.6666666666667
"Arbutus Ridge",2006,7,10,7月 2006,14,-28.5714285714286
"Arbutus Ridge",2006,8,19,8月 2006,10,90
"Arbutus Ridge",2006,9,15,9月 2006,19,-21.0526315789474
"Arbutus Ridge",2006,10,13,10月 2006,15,-13.3333333333333
"Arbutus Ridge",2006,11,16,11月 2006,13,23.0769230769231
"Arbutus Ridge",2006,12,15,12月 2006,16,-6.25
"Arbutus Ridge",2007,1,18,1月 2007,15,20
"Arbutus Ridge",2007,2,14,2月 2007,18,-22.2222222222222
"Arbutus Ridge",2007,3,22,3月 2007,14,57.1428571428571
"Arbutus Ridge",2007,4,18,4月 2007,22,-18.1818181818182
"Arbutus Ridge",2007,5,15,5月 2007,18,-16.6666666666667
"Arbutus Ridge",2007,6,22,6月 2007,15,46.6666666666667
"Arbutus Ridge",2007,7,17,7月 2007,22,-22.7272727272727
"Arbutus Ridge",2007,8,22,8月 2007,17,29.4117647058824
"Arbutus Ridge",2007,9,20,9月 2007,22,-9.09090909090909
"Arbutus Ridge",2007,10,13,10月 2007,20,-35
"Arbutus Ridge",2007,11,7,11月 2007,13,-46.1538461538462
"Arbutus Ridge",2007,12,16,12月 2007,7,128.571428571429
"Arbutus Ridge",2008,1,8,1月 2008,16,-50
"Arbutus Ridge",2008,2,9,2月 2008,8,12.5
"Arbutus Ridge",2008,3,13,3月 2008,9,44.4444444444444
"Arbutus Ridge",2008,4,10,4月 2008,13,-23.0769230769231
"Arbutus Ridge",2008,5,24,5月 2008,10,140
"Arbutus Ridge",2008,6,26,6月 2008,24,8.33333333333333
"Arbutus Ridge",2008,7,24,7月 2008,26,-7.69230769230769
"Arbutus Ridge",2008,8,5,8月 2008,24,-79.1666666666667
"Arbutus Ridge",2008,9,20,9月 2008,5,300
"Arbutus Ridge",2008,10,17,10月 2008,20,-15
"Arbutus Ridge",2008,11,12,11月 2008,17,-29.4117647058824
"Arbutus Ridge",2008,12,21,12月 2008,12,75
"Arbutus Ridge",2009,1,14,1月 2009,21,-33.3333333333333
"Arbutus Ridge",2009,2,8,2月 2009,14,-42.8571428571429
"Arbutus Ridge",2009,3,12,3月 2009,8,50
"Arbutus Ridge",2009,4,21,4月 2009,12,75
"Arbutus Ridge",2009,5,16,5月 2009,21,-23.8095238095238
"Arbutus Ridge",2009,6,20,6月 2009,16,25
"Arbutus Ridge",2009,7,12,7月 2009,20,-40
"Arbutus Ridge",2009,8,16,8月 2009,12,33.3333333333333
"Arbutus Ridge",2009,9,20,9月 2009,16,25
"Arbutus Ridge",2009,10,14,10月 2009,20,-30
"Arbutus Ridge",2009,11,18,11月 2009,14,28.5714285714286
"Arbutus Ridge",2009,12,9,12月 2009,18,-50
"Arbutus Ridge",2010,1,7,1月 2010,9,-22.2222222222222
"Arbutus Ridge",2010,2,10,2月 2010,7,42.8571428571429
"Arbutus Ridge",2010,3,15,3月 2010,10,50
"Arbutus Ridge",2010,4,16,4月 2010,15,6.66666666666667
"Arbutus Ridge",2010,5,7,5月 2010,16,-56.25
"Arbutus Ridge",2010,6,18,6月 2010,7,157.142857142857
"Arbutus Ridge",2010,7,17,7月 2010,18,-5.55555555555556
"Arbutus Ridge",2010,8,9,8月 2010,17,-47.0588235294118
"Arbutus Ridge",2010,9,11,9月 2010,9,22.2222222222222
"Arbutus Ridge",2010,10,7,10月 2010,11,-36.3636363636364
"Arbutus Ridge",2010,11,17,11月 2010,7,142.857142857143
"Arbutus Ridge",2010,12,6,12月 2010,17,-64.7058823529412
"Arbutus Ridge",2011,1,9,1月 2011,6,50
"Arbutus Ridge",2011,2,4,2月 2011,9,-55.5555555555556
"Arbutus Ridge",2011,3,5,3月 2011,4,25
"Arbutus Ridge",2011,4,9,4月 2011,5,80
"Arbutus Ridge",2011,5,15,5月 2011,9,66.6666666666667
"Arbutus Ridge",2011,6,19,6月 2011,15,26.6666666666667
"Arbutus Ridge",2011,7,16,7月 2011,19,-15.7894736842105
"Arbutus Ridge",2011,8,14,8月 2011,16,-12.5
"Arbutus Ridge",2011,9,15,9月 2011,14,7.14285714285714
"Arbutus Ridge",2011,10,13,10月 2011,15,-13.3333333333333
"Arbutus Ridge",2011,11,12,11月 2011,13,-7.69230769230769
"Arbutus Ridge",2011,12,10,12月 2011,12,-16.6666666666667
