"YEAR","MONTH","crime_count","date","prev_crime_count","pct_change"
2003,1,1359,1月 2003,NA,NA
2003,3,1409,3月 2003,1359,3.67917586460633
2003,5,1983,5月 2003,1409,40.7381121362669
2003,7,1917,7月 2003,1983,-3.32829046898638
2003,9,1657,9月 2003,1917,-13.5628586332812
2003,11,1352,11月 2003,1657,-18.4067592033796
2004,1,1171,1月 2004,1352,-13.387573964497
2004,3,1471,3月 2004,1171,25.6191289496157
2004,5,1672,5月 2004,1471,13.6641740312712
2004,7,1764,7月 2004,1672,5.50239234449761
2004,9,1800,9月 2004,1764,2.04081632653061
2004,11,1392,11月 2004,1800,-22.6666666666667
2005,1,1216,1月 2005,1392,-12.6436781609195
2005,3,1382,3月 2005,1216,13.6513157894737
2005,5,1835,5月 2005,1382,32.7785817655572
2005,7,1679,7月 2005,1835,-8.50136239782016
2005,9,1600,9月 2005,1679,-4.70518165574747
2005,11,1181,11月 2005,1600,-26.1875
2006,1,1174,1月 2006,1181,-0.592718035563082
2006,3,1340,3月 2006,1174,14.1396933560477
2006,5,1580,5月 2006,1340,17.910447761194
2006,7,1691,7月 2006,1580,7.0253164556962
2006,9,1559,9月 2006,1691,-7.806031933767
2006,11,1240,11月 2006,1559,-20.4618345093008
2007,1,1175,1月 2007,1240,-5.24193548387097
2007,3,1231,3月 2007,1175,4.76595744680851
2007,5,1544,5月 2007,1231,25.4264825345248
2007,7,1542,7月 2007,1544,-0.129533678756477
2007,9,1385,9月 2007,1542,-10.1815823605707
2007,11,1085,11月 2007,1385,-21.6606498194946
2008,1,989,1月 2008,1085,-8.84792626728111
2008,3,1259,3月 2008,989,27.3003033367037
2008,5,1436,5月 2008,1259,14.0587768069897
2008,7,1366,7月 2008,1436,-4.87465181058496
2008,9,1336,9月 2008,1366,-2.19619326500732
2008,11,1014,11月 2008,1336,-24.1017964071856
2009,1,939,1月 2009,1014,-7.39644970414201
2009,3,1108,3月 2009,939,17.9978700745474
2009,5,1243,5月 2009,1108,12.1841155234657
2009,7,1263,7月 2009,1243,1.60901045856798
2009,9,1204,9月 2009,1263,-4.67141726049089
2009,11,959,11月 2009,1204,-20.3488372093023
2010,1,798,1月 2010,959,-16.7883211678832
2010,3,1039,3月 2010,798,30.2005012531328
2010,5,1157,5月 2010,1039,11.3570741097209
2010,7,1182,7月 2010,1157,2.16076058772688
2010,9,1069,9月 2010,1182,-9.56006768189509
2010,11,875,11月 2010,1069,-18.1478016838167
2011,1,800,1月 2011,875,-8.57142857142857
2011,3,943,3月 2011,800,17.875
2011,5,1104,5月 2011,943,17.0731707317073
2011,7,1282,7月 2011,1104,16.1231884057971
2011,9,1086,9月 2011,1282,-15.2886115444618
2011,11,886,11月 2011,1086,-18.4162062615101
2012,1,774,1月 2012,886,-12.6410835214447
2012,3,952,3月 2012,774,22.9974160206718
2012,5,1103,5月 2012,952,15.8613445378151
2012,7,1161,7月 2012,1103,5.25838621940163
2012,9,1235,9月 2012,1161,6.37381567614126
2012,11,1027,11月 2012,1235,-16.8421052631579
2013,1,805,1月 2013,1027,-21.6163583252191
2013,3,987,3月 2013,805,22.6086956521739
2013,5,1247,5月 2013,987,26.3424518743668
2013,7,1297,7月 2013,1247,4.00962309542903
2013,9,1150,9月 2013,1297,-11.3338473400154
2013,11,862,11月 2013,1150,-25.0434782608696
2014,1,842,1月 2014,862,-2.32018561484919
2014,3,1032,3月 2014,842,22.5653206650831
2014,5,1333,5月 2014,1032,29.1666666666667
2014,7,1466,7月 2014,1333,9.9774943735934
2014,9,1274,9月 2014,1466,-13.0968622100955
2014,11,957,11月 2014,1274,-24.8822605965463
2015,1,927,1月 2015,957,-3.13479623824451
2015,3,1003,3月 2015,927,8.19848975188781
2015,5,1280,5月 2015,1003,27.617148554337
2015,7,1500,7月 2015,1280,17.1875
2015,9,1312,9月 2015,1500,-12.5333333333333
2015,11,1137,11月 2015,1312,-13.3384146341463
2016,1,1107,1月 2016,1137,-2.63852242744063
2016,3,1309,3月 2016,1107,18.2475158084914
2016,5,1617,5月 2016,1309,23.5294117647059
2016,7,1553,7月 2016,1617,-3.95794681508967
2016,9,1332,9月 2016,1553,-14.2305215711526
2016,11,1073,11月 2016,1332,-19.4444444444444
2017,1,892,1月 2017,1073,-16.8685927306617
2017,3,1291,3月 2017,892,44.7309417040359
2017,5,1422,5月 2017,1291,10.1471727343145
2017,7,1547,7月 2017,1422,8.79043600562588
2017,9,1440,9月 2017,1547,-6.91661279896574
2017,11,1179,11月 2017,1440,-18.125
2018,1,1086,1月 2018,1179,-7.88804071246819
2018,3,1253,3月 2018,1086,15.377532228361
2018,5,1473,5月 2018,1253,17.5578611332801
2018,7,1396,7月 2018,1473,-5.22742701968771
2018,9,1370,9月 2018,1396,-1.86246418338109
2018,11,1130,11月 2018,1370,-17.5182481751825
2019,1,1131,1月 2019,1130,0.0884955752212389
2019,3,1335,3月 2019,1131,18.0371352785146
2019,5,1583,5月 2019,1335,18.5767790262172
2019,7,1716,7月 2019,1583,8.4017687934302
2019,9,1649,9月 2019,1716,-3.9044289044289
2019,11,1344,11月 2019,1649,-18.4960582171013
2020,1,1212,1月 2020,1344,-9.82142857142857
2020,3,1271,3月 2020,1212,4.86798679867987
2020,5,832,5月 2020,1271,-34.5397324940991
2020,7,1080,7月 2020,832,29.8076923076923
2020,9,1073,9月 2020,1080,-0.648148148148148
2020,11,850,11月 2020,1073,-20.7828518173346
2021,1,841,1月 2021,850,-1.05882352941176
2021,3,790,3月 2021,841,-6.06420927467301
2021,5,995,5月 2021,790,25.9493670886076
2021,7,1076,7月 2021,995,8.14070351758794
2021,9,909,9月 2021,1076,-15.5204460966543
2021,11,842,11月 2021,909,-7.37073707370737
2022,1,808,1月 2022,842,-4.03800475059382
2022,3,969,3月 2022,808,19.9257425742574
2022,5,1118,5月 2022,969,15.3766769865841
2022,7,1115,7月 2022,1118,-0.268336314847943
2022,9,1062,9月 2022,1115,-4.75336322869955
2022,11,773,11月 2022,1062,-27.2128060263653
2023,1,757,1月 2023,773,-2.06985769728331
2023,3,1048,3月 2023,757,38.441215323646
2023,5,1237,5月 2023,1048,18.0343511450382
2023,7,1310,7月 2023,1237,5.90137429264349
2023,9,1170,9月 2023,1310,-10.6870229007634
2023,11,774,11月 2023,1170,-33.8461538461538
2024,1,721,1月 2024,774,-6.84754521963824
2024,3,987,3月 2024,721,36.8932038834951
2024,5,1204,5月 2024,987,21.9858156028369
2024,7,1225,7月 2024,1204,1.74418604651163
2024,9,1047,9月 2024,1225,-14.530612244898
2024,11,830,11月 2024,1047,-20.7258834765998
2025,1,816,1月 2025,830,-1.68674698795181
2025,3,375,3月 2025,816,-54.0441176470588
