"geo_local_area","year","month","crime_count","date","prev_crime_count","pct_change"
"Arbutus Ridge",2003,1,52,1月 2003,NA,NA
"Arbutus Ridge",2003,3,48,3月 2003,52,-7.69230769230769
"Arbutus Ridge",2003,5,36,5月 2003,48,-25
"Arbutus Ridge",2003,7,39,7月 2003,36,8.33333333333333
"Arbutus Ridge",2003,9,38,9月 2003,39,-2.56410256410256
"Arbutus Ridge",2003,11,35,11月 2003,38,-7.89473684210526
"Arbutus Ridge",2004,1,49,1月 2004,35,40
"Arbutus Ridge",2004,3,40,3月 2004,49,-18.3673469387755
"Arbutus Ridge",2004,5,53,5月 2004,40,32.5
"Arbutus Ridge",2004,7,27,7月 2004,53,-49.0566037735849
"Arbutus Ridge",2004,9,43,9月 2004,27,59.2592592592593
"Arbutus Ridge",2004,11,43,11月 2004,43,0
"Arbutus Ridge",2005,1,47,1月 2005,43,9.30232558139535
"Arbutus Ridge",2005,3,54,3月 2005,47,14.8936170212766
"Arbutus Ridge",2005,5,48,5月 2005,54,-11.1111111111111
"Arbutus Ridge",2005,7,40,7月 2005,48,-16.6666666666667
"Arbutus Ridge",2005,9,33,9月 2005,40,-17.5
"Arbutus Ridge",2005,11,25,11月 2005,33,-24.2424242424242
"Arbutus Ridge",2006,1,34,1月 2006,25,36
"Arbutus Ridge",2006,3,39,3月 2006,34,14.7058823529412
"Arbutus Ridge",2006,5,19,5月 2006,39,-51.2820512820513
"Arbutus Ridge",2006,7,19,7月 2006,19,0
"Arbutus Ridge",2006,9,33,9月 2006,19,73.6842105263158
"Arbutus Ridge",2006,11,21,11月 2006,33,-36.3636363636364
"Arbutus Ridge",2007,1,24,1月 2007,21,14.2857142857143
"Arbutus Ridge",2007,3,17,3月 2007,24,-29.1666666666667
"Arbutus Ridge",2007,5,24,5月 2007,17,41.1764705882353
"Arbutus Ridge",2007,7,10,7月 2007,24,-58.3333333333333
"Arbutus Ridge",2007,9,22,9月 2007,10,120
"Arbutus Ridge",2007,11,20,11月 2007,22,-9.09090909090909
"Arbutus Ridge",2008,1,21,1月 2008,20,5
"Arbutus Ridge",2008,3,21,3月 2008,21,0
"Arbutus Ridge",2008,5,22,5月 2008,21,4.76190476190476
"Arbutus Ridge",2008,7,17,7月 2008,22,-22.7272727272727
"Arbutus Ridge",2008,9,10,9月 2008,17,-41.1764705882353
"Arbutus Ridge",2008,11,16,11月 2008,10,60
"Arbutus Ridge",2009,1,27,1月 2009,16,68.75
"Arbutus Ridge",2009,3,24,3月 2009,27,-11.1111111111111
"Arbutus Ridge",2009,5,22,5月 2009,24,-8.33333333333333
"Arbutus Ridge",2009,7,17,7月 2009,22,-22.7272727272727
"Arbutus Ridge",2009,9,16,9月 2009,17,-5.88235294117647
"Arbutus Ridge",2009,11,21,11月 2009,16,31.25
"Arbutus Ridge",2010,1,20,1月 2010,21,-4.76190476190476
"Arbutus Ridge",2010,3,20,3月 2010,20,0
"Arbutus Ridge",2010,5,14,5月 2010,20,-30
"Arbutus Ridge",2010,7,14,7月 2010,14,0
"Arbutus Ridge",2010,9,18,9月 2010,14,28.5714285714286
"Arbutus Ridge",2010,11,23,11月 2010,18,27.7777777777778
"Arbutus Ridge",2011,1,20,1月 2011,23,-13.0434782608696
"Arbutus Ridge",2011,3,15,3月 2011,20,-25
"Arbutus Ridge",2011,5,14,5月 2011,15,-6.66666666666667
"Arbutus Ridge",2011,7,15,7月 2011,14,7.14285714285714
"Arbutus Ridge",2011,9,18,9月 2011,15,20
"Arbutus Ridge",2011,11,23,11月 2011,18,27.7777777777778
"Arbutus Ridge",2012,1,14,1月 2012,23,-39.1304347826087
"Arbutus Ridge",2012,3,9,3月 2012,14,-35.7142857142857
"Arbutus Ridge",2012,5,17,5月 2012,9,88.8888888888889
"Arbutus Ridge",2012,7,13,7月 2012,17,-23.5294117647059
"Arbutus Ridge",2012,9,18,9月 2012,13,38.4615384615385
"Arbutus Ridge",2012,11,31,11月 2012,18,72.2222222222222
"Arbutus Ridge",2013,1,13,1月 2013,31,-58.0645161290323
"Arbutus Ridge",2013,3,18,3月 2013,13,38.4615384615385
"Arbutus Ridge",2013,5,24,5月 2013,18,33.3333333333333
"Arbutus Ridge",2013,7,11,7月 2013,24,-54.1666666666667
"Arbutus Ridge",2013,9,8,9月 2013,11,-27.2727272727273
"Arbutus Ridge",2013,11,30,11月 2013,8,275
"Arbutus Ridge",2014,1,22,1月 2014,30,-26.6666666666667
"Arbutus Ridge",2014,3,13,3月 2014,22,-40.9090909090909
"Arbutus Ridge",2014,5,28,5月 2014,13,115.384615384615
"Arbutus Ridge",2014,7,23,7月 2014,28,-17.8571428571429
"Arbutus Ridge",2014,9,32,9月 2014,23,39.1304347826087
"Arbutus Ridge",2014,11,32,11月 2014,32,0
"Arbutus Ridge",2015,1,25,1月 2015,32,-21.875
"Arbutus Ridge",2015,3,17,3月 2015,25,-32
"Arbutus Ridge",2015,5,19,5月 2015,17,11.7647058823529
"Arbutus Ridge",2015,7,23,7月 2015,19,21.0526315789474
"Arbutus Ridge",2015,9,20,9月 2015,23,-13.0434782608696
"Arbutus Ridge",2015,11,20,11月 2015,20,0
"Arbutus Ridge",2016,1,34,1月 2016,20,70
"Arbutus Ridge",2016,3,16,3月 2016,34,-52.9411764705882
"Arbutus Ridge",2016,5,17,5月 2016,16,6.25
"Arbutus Ridge",2016,7,30,7月 2016,17,76.4705882352941
"Arbutus Ridge",2016,9,17,9月 2016,30,-43.3333333333333
"Arbutus Ridge",2016,11,21,11月 2016,17,23.5294117647059
"Arbutus Ridge",2017,1,16,1月 2017,21,-23.8095238095238
"Arbutus Ridge",2017,3,27,3月 2017,16,68.75
"Arbutus Ridge",2017,5,18,5月 2017,27,-33.3333333333333
"Arbutus Ridge",2017,7,32,7月 2017,18,77.7777777777778
"Arbutus Ridge",2017,9,14,9月 2017,32,-56.25
"Arbutus Ridge",2017,11,19,11月 2017,14,35.7142857142857
"Arbutus Ridge",2018,1,13,1月 2018,19,-31.5789473684211
"Arbutus Ridge",2018,3,20,3月 2018,13,53.8461538461538
"Arbutus Ridge",2018,5,22,5月 2018,20,10
"Arbutus Ridge",2018,7,13,7月 2018,22,-40.9090909090909
"Arbutus Ridge",2018,9,21,9月 2018,13,61.5384615384615
"Arbutus Ridge",2018,11,24,11月 2018,21,14.2857142857143
"Arbutus Ridge",2019,1,16,1月 2019,24,-33.3333333333333
