"year","month","crime_count","date","prev_crime_count","pct_change"
2003,1,3190,1月 2003,NA,NA
2003,2,2580,2月 2003,3190,-19.1222570532915
2003,3,2805,3月 2003,2580,8.72093023255814
2003,4,2852,4月 2003,2805,1.67557932263815
2003,5,2998,5月 2003,2852,5.11921458625526
2003,6,2885,6月 2003,2998,-3.76917945296865
2003,7,2573,7月 2003,2885,-10.8145580589255
2003,8,2829,8月 2003,2573,9.94947532063739
2003,9,2606,9月 2003,2829,-7.88264404383174
2003,10,3023,10月 2003,2606,16.0015349194167
2003,11,2867,11月 2003,3023,-5.16043665233212
2003,12,2879,12月 2003,2867,0.418555981862574
2004,1,2847,1月 2004,2879,-1.11149704758597
2004,2,2692,2月 2004,2847,-5.44432736213558
2004,3,2896,3月 2004,2692,7.57800891530461
2004,4,2638,4月 2004,2896,-8.90883977900553
2004,5,2636,5月 2004,2638,-0.0758150113722517
2004,6,2355,6月 2004,2636,-10.660091047041
2004,7,2546,7月 2004,2355,8.1104033970276
2004,8,2903,8月 2004,2546,14.0219952867243
2004,9,2996,9月 2004,2903,3.20358250086118
2004,10,3166,10月 2004,2996,5.67423230974633
2004,11,3068,11月 2004,3166,-3.0953885028427
2004,12,2974,12月 2004,3068,-3.0638852672751
2005,1,2829,1月 2005,2974,-4.87558843308675
2005,2,2414,2月 2005,2829,-14.6694945210322
2005,3,2740,3月 2005,2414,13.5045567522784
2005,4,2459,4月 2005,2740,-10.2554744525547
2005,5,2411,5月 2005,2459,-1.95201301342009
2005,6,2327,6月 2005,2411,-3.48403152218996
2005,7,2328,7月 2005,2327,0.0429737859905458
2005,8,2376,8月 2005,2328,2.06185567010309
2005,9,2303,9月 2005,2376,-3.07239057239057
2005,10,2431,10月 2005,2303,5.55796786799826
2005,11,2466,11月 2005,2431,1.43973673385438
2005,12,2533,12月 2005,2466,2.71695052716951
2006,1,2807,1月 2006,2533,10.8172127911567
2006,2,2269,2月 2006,2807,-19.1663697898112
2006,3,2535,3月 2006,2269,11.7232260907889
2006,4,1869,4月 2006,2535,-26.2721893491124
2006,5,1950,5月 2006,1869,4.3338683788122
2006,6,2086,6月 2006,1950,6.97435897435897
2006,7,2191,7月 2006,2086,5.03355704697987
2006,8,2168,8月 2006,2191,-1.04974897307166
2006,9,2115,9月 2006,2168,-2.44464944649447
2006,10,2265,10月 2006,2115,7.09219858156028
2006,11,2217,11月 2006,2265,-2.11920529801325
2006,12,2438,12月 2006,2217,9.96842580063148
2007,1,2422,1月 2007,2438,-0.656275635767022
2007,2,1851,2月 2007,2422,-23.5755573905863
2007,3,1902,3月 2007,1851,2.75526742301459
2007,4,1771,4月 2007,1902,-6.88748685594111
2007,5,1690,5月 2007,1771,-4.57368718238283
2007,6,1801,6月 2007,1690,6.56804733727811
2007,7,1789,7月 2007,1801,-0.666296501943365
2007,8,2139,8月 2007,1789,19.564002235886
2007,9,1942,9月 2007,2139,-9.20991117344554
2007,10,1929,10月 2007,1942,-0.669412976313079
2007,11,1872,11月 2007,1929,-2.95489891135303
2007,12,1773,12月 2007,1872,-5.28846153846154
2008,1,1816,1月 2008,1773,2.42526790750141
2008,2,1825,2月 2008,1816,0.495594713656388
2008,3,2099,3月 2008,1825,15.013698630137
2008,4,1736,4月 2008,2099,-17.2939494997618
2008,5,1686,5月 2008,1736,-2.88018433179723
2008,6,1743,6月 2008,1686,3.38078291814947
2008,7,1665,7月 2008,1743,-4.4750430292599
2008,8,1740,8月 2008,1665,4.5045045045045
2008,9,1777,9月 2008,1740,2.1264367816092
2008,10,1877,10月 2008,1777,5.6274620146314
2008,11,1827,11月 2008,1877,-2.6638252530634
