GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",v_CA21_6: Population density per square kilometre,v_CA21_386: Average age,v_CA21_906: Median total income of household in 2020 ($),v_CA21_5853: University certificate or diploma above bachelor level,v_CA21_4410: Immigrants
59150307,DA,59150307,0.2991,677,297,266,677,2263.5,42.8,114000,10,190
59150308,DA,59150308,0.1096,541,229,218,541,4936.1,43.0,114000,25,160
59150309,DA,59150309,0.1119,761,299,282,761,6800.7,43.3,94000,25,210
59150310,DA,59150310,0.1094,748,411,389,748,6837.3,37.0,67000,10,195
59150311,DA,59150311,0.0809,537,202,187,537,6637.8,41.0,92000,0,155
59150312,DA,59150312,0.0871,555,218,201,555,6372,40.6,96000,10,215
59150313,DA,59150313,0.1728,1003,368,355,1003,5804.4,45.6,90000,0,350
59150328,DA,59150328,0.2322,508,177,169,508,2187.8,41.4,95000,0,290
59150329,DA,59150329,0.3085,966,369,350,966,3131.3,42.5,86000,15,445
59150330,DA,59150330,0.0782,544,221,209,544,6956.5,41.7,88000,35,300
59150331,DA,59150331,0.1544,858,344,317,858,5557,42.8,87000,15,310
59150332,DA,59150332,0.1118,660,273,251,660,5903.4,45.9,100000,0,330
59150333,DA,59150333,0.0996,621,260,242,621,6234.9,43.3,78000,10,260
59150334,DA,59150334,0.0878,507,222,210,507,5774.5,46.9,89000,0,235
59150335,DA,59150335,0.0957,857,335,314,857,8955.1,41.2,89000,10,355
59150336,DA,59150336,0.1357,610,235,225,610,4495.2,42.7,95000,20,245
59150337,DA,59150337,0.0979,433,169,163,433,4422.9,43.4,123000,15,150
59150338,DA,59150338,0.0753,479,180,173,479,6361.2,44.9,102000,10,245
59150339,DA,59150339,0.0971,588,232,216,588,6055.6,41.6,109000,35,190
59150340,DA,59150340,0.0793,534,210,200,534,6733.9,42.5,92000,25,205
59150341,DA,59150341,0.0646,459,185,176,459,7105.3,41.7,97000,10,170
59150342,DA,59150342,0.0803,461,191,184,461,5741,44.3,95000,25,185
59150343,DA,59150343,0.0607,470,213,190,470,7743,45.5,85000,10,75
59150344,DA,59150344,0.0582,480,228,215,480,8247.4,41.1,100000,10,120
