"REF_DATE","GEO","DGUID","Index","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014-01","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units","0","v107792906","13.2","93.7","","","","1"
"2014-02","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units","0","v107792906","13.2","93.7","","","","1"
"2014-03","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units","0","v107792906","13.2","93.7","","","","1"
"2014-04","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units","0","v107792906","13.2","102.1","","","","1"
"2014-05","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units","0","v107792906","13.2","102.1","","","","1"
"2014-06","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units","0","v107792906","13.2","102.1","","","","1"
"2014-07","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units","0","v107792906","13.2","102.1","","","","1"
"2014-08","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units","0","v107792906","13.2","102.1","","","","1"
"2014-09","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units","0","v107792906","13.2","102.1","","","","1"
"2014-10","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units","0","v107792906","13.2","102.1","","","","1"
"2014-11","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units","0","v107792906","13.2","102.1","","","","1"
"2014-12","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units","0","v107792906","13.2","102.1","","","","1"
"2015-01","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units","0","v107792906","13.2","102.1","","","","1"
"2015-02","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units","0","v107792906","13.2","102.1","","","","1"
"2015-03","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units","0","v107792906","13.2","102.1","","","","1"
"2015-04","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units","0","v107792906","13.2","108.2","","","","1"
"2015-05","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units","0","v107792906","13.2","108.2","","","","1"
"2015-06","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units","0","v107792906","13.2","108.2","","","","1"
"2015-07","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units","0","v107792906","13.2","108.2","","","","1"
"2015-08","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units","0","v107792906","13.2","108.2","","","","1"
