neighborhood,year,month,time_category,population,area_sq_km,population_density,income,crime_count,electric_index,date,ntl_mean,n_pixels,n_non_na_pixels,prop_non_na_pixels,is_downtown,expected_crime
Arbutus Ridge,2014,1,day,4081,1.27478,3201.3367012347226,0.83312,10,94.8,2014-01-01,3.04110836982727,37,37,1,0,7.484797759166534
Arbutus Ridge,2014,1,night,8092,1.73506,4663.815660553525,0.7900292307692307,17,94.8,2014-01-01,3.04110836982727,37,37,1,0,16.512218012033532
Arbutus Ridge,2014,2,day,1969,0.46015,4279.039443659676,0.9015466666666666,3,94.8,2014-02-01,3.06300735473633,37,37,1,0,9.022881184607542
Arbutus Ridge,2014,2,night,7398,1.90694,3879.513775997147,0.84054,19,94.8,2014-02-01,3.06300735473633,37,37,1,0,12.387725354963697
Arbutus Ridge,2014,3,day,4209,0.89528,4701.322491287642,0.7967085714285714,8,94.8,2014-03-01,3.58029270172119,37,37,1,0,11.088465161899611
Arbutus Ridge,2014,3,night,5580,1.20353,4636.36137030236,0.6417544444444444,11,94.8,2014-03-01,3.58029270172119,37,37,1,0,16.559376977060936
Arbutus Ridge,2014,4,day,4198,1.25058,3356.8424251147467,0.7951242857142857,9,101.7,2014-04-01,2.95203042030334,37,37,1,0,7.9459498551717225
Arbutus Ridge,2014,4,night,7826,1.85334,4222.646681127047,0.7626364285714285,22,101.7,2014-04-01,2.95203042030334,37,37,1,0,15.136132826965662
Arbutus Ridge,2014,5,day,4519,1.28729,3510.4754950321994,0.84256,11,101.7,2014-05-01,3.42792177200317,37,37,1,0,8.707625510696902
Arbutus Ridge,2014,5,night,5375,1.30892,4106.438896189225,0.799232,24,101.7,2014-05-01,3.42792177200317,37,37,1,0,15.424620342602818
Arbutus Ridge,2014,6,day,6209,1.3354,4649.543208027558,0.773811,11,101.7,2014-06-01,NA,NA,NA,NA,0,11.646353853168069
Arbutus Ridge,2014,6,night,6755,1.95825,3449.5084897229667,0.9032861538461538,31,101.7,2014-06-01,NA,NA,NA,NA,0,13.084352400879848
Arbutus Ridge,2014,7,day,4424,0.68345,6473.041188089838,0.7095585714285715,11,101.7,2014-07-01,3.31244444847107,37,37,1,0,16.983065128894566
Arbutus Ridge,2014,7,night,7217,1.8010300000000001,4007.151463329317,0.8040369230769231,17,101.7,2014-07-01,3.31244444847107,37,37,1,0,15.920576283395095
Arbutus Ridge,2014,8,day,5060,1.36563,3705.2495917635088,0.8648533333333334,9,101.7,2014-08-01,2.99133920669556,37,37,1,0,9.897537286202471
Arbutus Ridge,2014,8,night,7708,1.9429,3967.2654279685007,0.8220946153846154,13,101.7,2014-08-01,2.99133920669556,37,37,1,0,16.047827860449214
Arbutus Ridge,2014,9,day,5736,1.27728,4490.792934986847,0.7589549999999999,13,101.7,2014-09-01,2.8922016620636,37,37,1,0,11.35338687639853
Arbutus Ridge,2014,9,night,6067,1.53958,3940.685121916367,0.8351418181818182,28,101.7,2014-09-01,2.8922016620636,37,37,1,0,15.086533504670815
Arbutus Ridge,2014,10,day,5688,1.28697,4419.683442504487,0.699947,13,101.7,2014-10-01,2.65956377983093,37,37,1,0,11.242329308710726
Arbutus Ridge,2014,10,night,7940,2.2529,3524.346397975942,0.8226135714285714,24,101.7,2014-10-01,2.65956377983093,37,37,1,0,13.575600418001246
Arbutus Ridge,2014,11,day,5326,1.275,4177.254901960785,0.85014375,9,101.7,2014-11-01,3.27367687225342,37,37,1,0,9.573199672266234
Arbutus Ridge,2014,11,night,9681,2.14936,4504.131462388804,0.78981875,29,101.7,2014-11-01,3.27367687225342,37,37,1,0,15.631207159423086
Arbutus Ridge,2014,12,day,3306,0.8281499999999999,3992.0304292700603,0.822016,6,101.7,2014-12-01,3.78578948974609,37,37,1,0,8.890711832328632
